feature,importance
fix_duration_AOI_aggregated_Neg_min,0.00241438
fuzzy_m_2_r_200,0.0024022278
fix_duration_AOI_FD_Target_max,0.0023816472
sac_angle_to_x_skew,0.0023575986
lam_euclidean_length_1_rho_50,0.0023537956
sac_angle_between_min,0.0023432309
imf0_kurtosis,0.0023414122
imf0_energy,0.0023337372
reg_length_median,0.002324513
sac_length_AOI_aggregated_Target_sum,0.0023115566
sac_length_AOI_aggregated_None_std,0.0023059826
corr_dim_m_2_tau_2_r_50,0.0022992732
fix_duration_AOI_FD_None_median,0.0022960873
sac_speed_from_Pos_to_Target_from_Pos_to_Target_mean,0.0022934552
sac_length_std,0.002261471
hurst_exponent.1,0.002226734
fuzzy_m_3_r_200,0.0022261483
sac_speed_std,0.002220805
lyapunov_exponent_m_2_tau_1_T_4,0.0021905617
incremental_entropy,0.0021899415
sac_angle_to_x_min,0.0021759067
sac_length_max,0.002151109
sac_length_AOI_aggregated_None_mean,0.0021414075
fix_duration_AOI_FD_None_mean,0.0021269605
reg_speed_max,0.0021218997
lyapunov_exponent_m_3_tau_2_T_1,0.0021202618
reg_length_mean,0.0021161055
hurst_exponent,0.0021102212
lyapunov_exponent_m_2_tau_2_T_1,0.0021050868
sac_speed_AOI_aggregated_Target_min,0.0021007676
sac_speed_AOI_aggregated_Neg_median,0.0020909791
fractal_dim_m_4_tau_2,0.0020561537
imf0_max,0.002032218
sac_length_AOI_aggregated_Target_mean,0.00202906
lyapunov_exponent_m_3_tau_2_T_2,0.002028611
sac_length_AOI_aggregated_None_min,0.0020247502
lam_euclidean_length_2_rho_25,0.002013384
fix_duration_max,0.001997118
sac_speed_AOI_aggregated_None_median,0.0019907278
imf0_min,0.0019789033
sac_angle_to_x_std,0.0019772162
sample_entropy_m=4_r=400,0.0019568717
imf0_median,0.0019412275
sac_speed_AOI_aggregated_Target_mean,0.0019410044
gridded_entropy_grid_size_3,0.0019402876
sac_speed_max,0.0019170041
reg_speed_median,0.0019131437
imf0_skew,0.0019020975
sac_speed_kurtosis,0.0019002015
fix_duration_AOI_aggregated_None_max,0.0018986983
sample_entropy_m=4_r=200,0.0018882855
fix_duration_AOI_FD_Pos2_median,0.0018612747
reg_length_std,0.0018578342
lam_euclidean_length_3_rho_50,0.0018514578
sac_angle_to_x_max,0.0018456763
det_euclidean_length_2_rho_500,0.0018400578
sac_angle_to_x_kurtosis,0.0018182716
fix_duration_AOI_FD_None_skew,0.0018173174
fix_duration_AOI_FD_None_max,0.001804503
reg_speed_skew,0.0017288029
fix_duration_AOI_FD_Target_first,0.0017245439
det_euclidean_length_3_rho_25,0.0017239318
sample_entropy_m=3_r=200,0.0017072926
sac_speed_AOI_aggregated_None_max,0.0017056968
fix_duration_AOI_FD_None_first,0.001703629
gridded_entropy_grid_size_5,0.0016916239
rec_metric_euclidean_length_1_rho_25,0.0016639027
sac_length_AOI_aggregated_Neg_mean,0.001658006
fix_duration_AOI_aggregated_Pos_first,0.0016360562
sac_speed_AOI_aggregated_Target_std,0.0016141417
sample_entropy_m=2_r=200,0.0016080734
fix_duration_AOI_aggregated_None_mean,0.0015709219
fix_duration_first,0.0015697711
fix_duration_AOI_aggregated_Pos_skew,0.0015684175
sac_angle_between_mean,0.0015406501
fix_duration_AOI_FD_Neg1_sum,0.0015024098
sac_angle_between_std,0.0014846462
reg_speed_kurtosis,0.0014451838
fuzzy_m_4_r_200,0.0014440714
fix_duration_AOI_FD_None_min,0.0014335238
sample_entropy_m=4_r=50,0.0014216795
sac_length_AOI_aggregated_None_max,0.0013715932
sac_length_mean,0.0013616885
lyapunov_exponent_m_4_tau_1_T_4,0.0013428305
reg_length_kurtosis,0.0013237413
corr_dim_m_3_tau_2_r_50,0.0013036533
sac_length_AOI_aggregated_Target_median,0.0012730286
lyapunov_exponent_m_4_tau_1_T_1,0.0012634216
sac_length_AOI_aggregated_Target_std,0.001247187
sample_entropy_m=4_r=100,0.0011899918
lyapunov_exponent_m_3_tau_1_T_4,0.0011687623
sac_length_Target_to_Pos_Target_to_Pos_count,0.0011220402
fix_duration_kurtosis,0.0010897517
sac_angle_between_median,0.001069749
fix_duration_AOI_FD_Pos1_mean,0.0010629132
reg_speed_mean,0.0010173332
reg_speed_std,0.0009764608
sample_entropy_m=3_r=100,0.0009562734
corm_euclidean_length_1_rho_50,0.00083776074
sac_speed_from_Target_to_Pos_from_Target_to_Pos_max,0.0008003521
sample_entropy_m=3_r=50,0.0007839734
corm_euclidean_length_1_rho_25,0.0006658756
fix_duration_AOI_FD_Pos1_kurtosis,0.00063419633
det_euclidean_length_3_rho_50,0.00036468802
fix_duration_AOI_aggregated_Pos_std,0.00028197907
fix_duration_AOI_FD_Neg3_first,0.0
fix_duration_AOI_FD_Neg3_min,0.0
fix_duration_AOI_FD_Neg3_max,0.0
fix_duration_AOI_FD_Pos1_max,0.0
fix_duration_AOI_FD_Pos1_skew,0.0
fix_duration_AOI_FD_Pos1_sum,0.0
fix_duration_AOI_FD_Pos1_count,0.0
fix_duration_AOI_FD_Neg2_mean,0.0
fix_duration_AOI_FD_Neg2_median,0.0
fix_duration_AOI_FD_Neg2_std,0.0
fix_duration_AOI_FD_Neg2_kurtosis,0.0
fix_duration_AOI_FD_Neg2_skew,0.0
fix_duration_AOI_FD_Neg2_count,0.0
fix_duration_AOI_FD_Pos1_first,0.0
fix_duration_AOI_FD_Pos1_min,0.0
fix_duration_AOI_FD_None_std,0.0
fix_duration_AOI_FD_Neg2_first,0.0
fix_duration_AOI_FD_Neg2_min,0.0
fix_duration_AOI_FD_Neg2_max,0.0
fix_duration_AOI_FD_Pos3_skew,0.0
fix_duration_AOI_FD_Pos3_sum,0.0
fix_duration_AOI_FD_Pos3_count,0.0
fix_duration_AOI_aggregated_Neg_first,0.0
fix_duration_AOI_aggregated_Neg_std,0.0
fix_duration_AOI_aggregated_Neg_kurtosis,0.0
fix_duration_AOI_aggregated_Neg_count,0.0
fix_duration_AOI_aggregated_None_min,0.0
fix_duration_AOI_FD_Pos2_count,0.0
fix_duration_AOI_FD_Pos3_first,0.0
fix_duration_AOI_FD_Pos3_min,0.0
fix_duration_AOI_FD_Pos3_max,0.0
fix_duration_AOI_FD_Pos3_mean,0.0
fix_duration_AOI_FD_Pos3_median,0.0
fix_duration_AOI_FD_Pos3_std,0.0
