feature,importance
sac_angle_to_x_skew,0.0072645396
sac_speed_min,0.007256992
gridded_entropy_grid_size_4,0.007191094
reg_length_median,0.006900861
sac_length_AOI_aggregated_Neg_sum,0.006783037
sac_length_from_Target_to_Neg_from_Target_to_Neg_min,0.006729241
corr_dim_m_3_tau_2_r_200,0.006713366
sac_angle_between_mean,0.0066186558
imf0_max,0.0065599554
sac_angle_between_median,0.0063812896
fix_duration_skew,0.0063041425
fix_duration_AOI_aggregated_Neg_mean,0.006291184
sac_angle_to_x_max,0.0060835737
sac_length_AOI_aggregated_None_max,0.006082943
fix_duration_max,0.0060515427
fix_duration_AOI_aggregated_Neg_max,0.0060195965
fix_duration_AOI_FD_None_median,0.0058736796
sac_length_AOI_aggregated_Neg_median,0.0057877824
corm_euclidean_length_1_rho_5,0.005766599
reg_speed_median,0.0056586238
sac_length_AOI_aggregated_None_sum,0.0056453254
reg_mask_mean,0.0056040436
fix_duration_first,0.00536999
imf0_median,0.005215862
imf0_min,0.005133775
fix_duration_AOI_FD_None_mean,0.0050807525
fix_duration_AOI_aggregated_None_mean,0.0050600003
sac_angle_to_x_std,0.0048169326
fix_duration_AOI_FD_None_first,0.004779668
sac_speed_max,0.0046336213
lyapunov_exponent_m_2_tau_1_T_1,0.0045358553
det_euclidean_length_1_rho_50,0.004208462
fix_duration_std,0.003913514
sac_speed_median,0.003910516
det_euclidean_length_1_rho_25,0.0035968083
corr_dim_m_4_tau_2_r_50,0.0035838657
fix_duration_AOI_FD_None_skew,0.003554226
rec_metric_euclidean_length_1_rho_25,0.0032841729
sac_speed_AOI_aggregated_Neg_median,0.003257359
fix_duration_AOI_FD_None_min,0.0032538958
sac_length_AOI_aggregated_None_std,0.0031039603
sac_speed_AOI_aggregated_Neg_std,0.0030435561
fix_duration_AOI_aggregated_None_first,0.0030303122
fix_duration_median,0.0029486155
fuzzy_m_4_r_200,0.002905345
corr_dim_m_3_tau_1_r_50,0.0026539806
fix_duration_AOI_aggregated_Pos_skew,0.0025625306
fix_duration_AOI_FD_Pos1_kurtosis,0.0023548815
hurst_exponent.9,0.0019990262
sac_speed_AOI_aggregated_Pos_max,0.0
sac_speed_AOI_aggregated_Pos_std,0.0
sac_length_AOI_aggregated_Target_min,0.0
sac_length_AOI_aggregated_Target_max,0.0
sac_length_AOI_aggregated_Target_mean,0.0
sac_length_AOI_aggregated_Target_median,0.0
sac_length_AOI_aggregated_Target_std,0.0
sac_length_AOI_aggregated_Target_sum,0.0
sac_length_AOI_aggregated_Target_count,0.0
sac_speed_AOI_aggregated_Target_min,0.0
sac_speed_AOI_aggregated_Target_max,0.0
sac_speed_AOI_aggregated_Target_mean,0.0
sac_speed_AOI_aggregated_Target_median,0.0
sac_speed_AOI_aggregated_Target_std,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_median,0.0
